filename,filepath,duration_sec,sample_rate_hz,snr_db,silence_ratio,overlap_ratio,overlap_segments,srmr,f0_mean_hz,f0_sd_hz,f0_min_hz,f0_max_hz,f0_range_hz,f0_range_st,f0_voiced_frac,hnr_db,shimmer_pct,jitter_local_pct,jitter_rap_pct,praat_pause_count,praat_pause_rate_per_min,praat_mean_pause_dur_sec,praat_total_pause_dur_sec,praat_pause_to_speech_ratio,praat_speaking_rate_syl_sec,praat_articulation_rate_syl_sec
1089-134686-0000.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0000.flac,10.435,16000,26.15,0.1671,0.0,,4.0478,96.96,14.06,75.51,140.13,64.62,10.7,0.4067,10.97,10.2201,2.2784,0.7446,4,23.0,0.4688,1.875,0.1797,4.312,6.826
1089-134686-0001.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0001.flac,3.275,16000,30.19,0.156,0.0,,3.5776,99.85,72.53,75.01,464.02,389.01,31.55,0.3241,7.5,14.2489,3.4904,1.7698,2,36.641,0.4295,0.859,0.2623,4.58,6.51
1089-134686-0002.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0002.flac,6.625,16000,34.18,0.1364,0.0,,2.6463,94.54,19.82,75.55,432.05,356.5,30.19,0.5964,11.13,11.0709,2.2061,0.9189,2,18.113,0.4965,0.993,0.1499,4.528,6.01
1089-134686-0003.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0003.flac,2.68,16000,43.45,0.236,0.3333,40000-80000,7.9337,176.21,54.31,109.61,357.99,248.38,20.49,0.6151,13.95,7.668,1.9896,0.7646,1,22.388,0.452,0.452,0.1687,4.104,5.589
1089-134686-0004.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0004.flac,5.215,16000,39.97,0.2428,0.3333,80000-120000,5.2756,134.63,33.7,80.97,220.54,139.57,17.35,0.5309,12.33,8.3232,2.5632,0.7489,2,23.01,0.584,1.168,0.224,3.643,5.373
1089-134686-0005.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0005.flac,9.635,16000,35.69,0.1215,0.0,,2.459,101.24,13.6,75.01,142.02,67.01,11.05,0.5958,14.11,8.6464,1.9513,0.7328,4,24.909,0.4607,1.843,0.1913,4.67,5.884
1089-134686-0006.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0006.flac,10.555,16000,29.87,0.1453,0.0,,2.5689,93.25,18.69,75.04,489.68,414.64,32.47,0.5627,11.91,9.9024,2.7192,1.3126,3,17.054,0.5317,1.595,0.1511,4.453,6.145
1089-134686-0007.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0007.flac,4.275,16000,37.89,0.2183,0.0,,3.6394,98.22,12.3,76.29,120.91,44.62,7.97,0.4953,14.02,9.1525,2.296,0.8565,2,28.07,0.5455,1.091,0.2552,3.743,5.236
1089-134686-0008.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0008.flac,6.73,16000,33.0,0.1786,0.0,,2.4858,105.29,41.56,75.15,494.05,418.9,32.6,0.4896,12.45,9.9032,2.655,1.0241,2,17.831,0.501,1.002,0.1489,5.201,7.011
1089-134686-0009.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0009.flac,10.575,16000,35.63,0.1818,0.0,,3.5326,104.23,18.45,75.29,419.42,344.13,29.73,0.4962,13.65,10.3423,2.4279,1.0504,5,28.369,0.5278,2.639,0.2496,3.972,5.292
1089-134686-0010.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0010.flac,4.405,16000,40.08,0.1849,0.3333,40000-80000,3.7862,118.19,21.99,80.97,266.94,185.97,20.65,0.5767,10.41,9.3201,2.2504,0.7808,2,27.242,0.4265,0.853,0.1936,5.221,6.475
1089-134686-0011.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0011.flac,12.445,16000,24.32,0.1184,0.0,,4.0543,101.77,37.52,75.37,499.65,424.28,32.75,0.5463,11.45,12.0952,2.8042,1.1763,3,14.464,0.5003,1.501,0.1206,5.303,6.111
1089-134686-0012.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0012.flac,11.64,16000,37.86,0.1649,0.1667,40000-80000,3.1478,114.53,59.36,74.99,492.57,417.58,32.59,0.5271,13.53,9.9714,2.5648,0.9481,5,25.773,0.4848,2.424,0.2082,4.553,6.169
1089-134686-0013.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0013.flac,7.915,16000,33.57,0.1635,0.0,,4.1422,104.01,26.39,76.48,448.81,372.33,30.64,0.5089,12.57,11.2361,3.0112,1.0038,3,22.742,0.5317,1.595,0.2015,4.675,6.2
1089-134686-0014.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0014.flac,2.225,16000,38.91,0.2027,0.0,,5.3542,112.64,19.65,80.63,148.75,68.11,10.6,0.3881,12.04,9.7137,2.4792,0.6533,1,26.966,0.4005,0.4005,0.18,4.045,7.401
1089-134686-0015.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0015.flac,5.815,16000,38.76,0.2642,0.0,,3.384,96.53,13.71,75.18,131.98,56.8,9.74,0.4343,12.67,9.6056,2.4288,0.9026,3,30.954,0.6252,1.8755,0.3225,3.783,6.486
1089-134686-0016.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0016.flac,3.54,16000,38.99,0.2542,0.3333,40000-80000,3.7289,95.66,13.36,77.09,126.6,49.51,8.59,0.3875,8.31,13.5362,3.2355,1.3233,2,33.898,0.45,0.9,0.2542,4.802,6.439
1089-134686-0017.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0017.flac,8.87,16000,34.91,0.1593,0.0,,2.5689,93.33,10.17,75.56,133.06,57.5,9.8,0.4977,11.41,9.8597,2.2456,0.8727,3,20.293,0.5237,1.571,0.1771,4.284,5.85
1089-134686-0018.flac,/content/data/LibriSpeech/test-clean/1089/134686/1089-134686-0018.flac,15.72,16000,25.59,0.1088,0.0,,3.0795,106.43,25.87,75.29,353.86,278.57,26.79,0.5271,12.88,9.3748,2.7029,1.0494,4,15.267,0.47,1.88,0.1196,5.025,6.103
